,0
CMG,0.11411616371057454
CMI,0.09127539156541745
CMS,0.08071158740579369
CNC,0.037234796915546625
CNP,0.05913294179376151
COF,0.07941134386522754
COO,0.05470536948560388
COP,0.041582203781565935
COR,0.07956894561718322
COST,0.18846105209929784
CPAY,0.0584303849489293
CPB,-0.008417661785473072
CPRT,0.2211330886665772
CPT,0.06713027009974822
CRL,0.051595419993954506
CRM,0.12480763389263444
CSCO,0.08352409446666913
CSGP,0.11108866097891676
CSX,0.0914538412932227
CTAS,0.2236414044030814
CTRA,-0.004352454042796789
CTSH,0.015962901464694684
CVS,-0.04430065959894937
CVX,0.05495102880464833
CZR,0.16159081710351725
D,-0.008531289727206431
DAL,0.006498397351914976
DD,0.009050971935334596
DE,0.15596625226063285
DECK,0.21346388364143418
DFS,0.107737014426075
DG,-0.011288299374947951
DGX,0.08484409627310269
DHI,0.14090648290761573
DHR,0.15159897348676543
DIS,-0.013361040797308984
DLR,0.09884319385812049
DLTR,-0.041643840687623036
DOC,-0.035691926267684256
DOV,0.10929277292934411
DPZ,0.14010681138506578
DRI,0.12758171171399318
DTE,0.07418930553369792
DUK,0.058383427787454034
DVA,0.036515115752206284
DVN,-0.0483416430619298
DXCM,0.1460581098975771
EA,0.061276659840475534
EBAY,0.08544036023566953
ECL,0.06988511112935974
ED,0.06204995610280549
EFX,0.08007773181284682
EG,0.06540542789997172
EIX,-0.0013279567923177166
EL,-0.031306940966555924
ELV,0.08871108310039011
EMN,0.027827607735291773
EMR,0.07087349467296618
ENPH,0.12015086976672484
EOG,0.033608886448073236
EPAM,0.09554681390601232
EQIX,0.13981710987493728
EQR,0.02107980347742099
EQT,-0.0044586389848958255
ERIE,0.16355005840419357
ES,0.02659869195061616
ESS,0.03979987296357866
ETN,0.13925539335844417
ETR,0.11325421743511974
EVRG,0.06843571391697864
EW,0.09025825837897275
EXC,0.07390112573684418
EXPD,0.07831716744162641
EXPE,0.05458074357377822
EXR,0.096675278736765
F,-0.027373342473895838
FANG,0.06853578067303555
FAST,0.13419260647893938
FCX,0.036929658212449534
FDS,0.0925366819058834
FDX,0.023949535906317456
FE,0.030800502533160568
FFIV,0.060715197978008936
FI,0.15028687065203708
FICO,0.28509271496419875
FIS,-0.004052990838479313
FITB,0.08626840367497385
FMC,-0.04609922267190238
FRT,-0.02040426166223243
FSLR,0.05157307829088431
FTNT,0.2517091535500642
GD,0.058343178522649544
GE,0.03756617512837057
GEN,0.08202540593468402
GILD,0.019627851495332218
GIS,0.023135445443308592
GL,0.0681782291588979
GLW,0.06560752277011297
GM,0.01859790519117494
GNRC,0.06993419903197146
GOOG,0.1556555765230767
GOOGL,0.15353513351038253
GPC,0.029772151477549
GPN,0.05640705742470327
GRMN,0.1560470496832786
GS,0.10730674111927077
GWW,0.13547317873942757
HAL,-0.06504695709293096
HAS,0.006547462988934733
HBAN,0.05076907616923529
HCA,0.12465623662585296
HD,0.1189472654247408
HES,0.056304263149345155
HIG,0.10298525973425701
HII,0.012494593371980462
HLT,0.12828484452175398
HOLX,0.04080603164324757
HON,0.07104689667290258
HPQ,0.07020458673110525
HRL,-0.002619208431469233
HSIC,-0.0006940658478220979
HST,-0.014015974863294702
HSY,0.05388779557739107
HUBB,0.11329111605373954
HUM,0.032018275029696966
IBM,0.06918375979660772
ICE,0.11760127124394087
IDXX,0.147854128340411
IEX,0.07690088672376573
IFF,-0.04289170009620154
INCY,-0.048145229791311736
INTC,-0.04609582197658366
INTU,0.1651391397304363
IP,0.014003985397552859
IPG,0.029597369736882536
IQV,0.07927625094873332
IRM,0.12116685740834549
ISRG,0.20617784657338098
IT,0.15363512164818258
ITW,0.09418299944638582
IVZ,-0.07285717462597131
J,0.10394239592468862
JBHT,0.047659292574590784
JBL,0.17013397990061815
JCI,0.0697810215629794
JKHY,0.08543922968276622
JNJ,0.05168767115369226
JNPR,0.04386709776827011
JPM,0.14229758578087698
K,0.03926279158980078
KDP,0.09647953095772911
KEY,0.0299424704239423
KEYS,0.11561590843391034
